address,Town,State,isHostedBySuperhost,location/lat,location/lng,name,numberOfGuests,pricing/rate/amount,roomType,stars
"Arpora, Goa, India",Arpora," Goa, India",0,15.55,73.76,"Koi, Baale Resort Goa, Luxury 4 Bedroom Villa",10,1529,Private Room In Resort,
"Guirim, Goa, India",Guirim," Goa, India",0,15.57,73.81,Super Luxury 4bhk Villa With Excellent Service,12,902,Entire Villa,
"New Delhi, Delhi, India",New Delhi," Delhi, India",0,28.44,77.17,Farmhouse Gardens & Swimming Pool For Film Shoots,6,1503,Farm Stay,
"Udaipur, Rajasthan, India",Udaipur," Rajasthan, India",0,24.49,73.58,Beautiful Cottage In The Village Of Bujera Udaipur,7,1263,Entire Villa,
"Panaji, Goa, India",Panaji," Goa, India",0,15.50,73.87,Bnb With Antique Furniture In River View Place 02,2,1097,Private Room In Villa,4.83
"New Delhi, Delhi, India",New Delhi," Delhi, India",0,28.50,77.14,Brookwood Gardens Wedding Venue,16,1203,Farm Stay,
"Arpora, Goa, India",Arpora," Goa, India",1,15.54,73.77,Stunning Luxury 16 Bedroom Villa + Private Pool,16,1172,Entire Villa,
"Kumarakom, Kerala, India",Kumarakom," Kerala, India",0,9.59,76.42,"Lakeside 20 Ac Rooms In Kumarakom, Kerala, India",16,788,Farm Stay,
"Anjuna, Goa, India",Anjuna," Goa, India",0,15.57,73.74,Private Beach Touch Villa,4,902,Entire Villa,
"New Delhi, Delhi, India",New Delhi," Delhi, India",0,28.49,77.14,Brookwood Gardens Glasshouse Party Venue,16,962,Farm Stay,
"Panaji, Goa, India",Panaji," Goa, India",0,15.50,73.82,A Luxury Heritage Goan Boutique Villa In Panjim,15,1168,Private Room In Villa,
"Calangute, Goa, India",Calangute," Goa, India",0,15.55,73.77,6bhk Celebrity Ultra Luxury Villa At Baga,14,842,Entire Villa,
"Assonora, Goa, India",Assonora," Goa, India",0,15.62,73.90,Valley Meadows Farm,16,1022,Room In Boutique Hotel,
"New Delhi, Delhi, India",New Delhi," Delhi, India",0,28.44,77.19,Farmhouse For Wedding And Pre-Wedding Function !!!,16,1203,Farm Stay,
"Gauravaddo, Calangute, Goa, India",Gauravaddo," Calangute, Goa, India",1,15.54,73.77,Unique Breathtaking Luxury Villa With Party Room,10,888,Entire Home,4.33
"Gurugram, Haryana, India",Gurugram," Haryana, India",1,28.37,77.01,Farm Resort (Ac Halls Avb./16 Rooms/40 Ppl Stay),16,1311,Farm Stay,
"New Delhi, Delhi, India",New Delhi," Delhi, India",0,28.45,77.18,Pre-Wedding @ Exquisite Private Farm,16,1203,Farm Stay,
"North Goa, Goa, India",North Goa," Goa, India",0,15.56,73.78,8 Bedroom Luxury Private Pool Villa ! Breakfast,16,842,Entire Villa,
"Goa, India",Goa, India,1,15.54,73.77,"Escape To Paradise, Your Group Getaway 12-36 Pax",16,978,Entire Villa,5.00
"Abu Road, Rajasthan, India",Abu Road," Rajasthan, India",0,24.53,72.79,Chacha Villa,12,1082,Entire Bungalow,
"Panjim, Goa, India",Panjim," Goa, India",0,15.50,73.83,9 Luxury Heritage Boutique Stay In Fontainhas Goa,16,842,Room In Heritage Hotel,
"Colovale, Goa, India",Colovale," Goa, India",0,15.65,73.82,7 Bedroom Villa On The Chapora River In Colvale,10,962,Entire Villa,4.60
"Kukas, Rajasthan, India",Kukas," Rajasthan, India",0,27.09,75.89,Natural Pearl Farms,8,842,Farm Stay,
"Nandgaon, Maharashtra, India",Nandgaon," Maharashtra, India",0,18.78,73.41,Ultra Luxurious Mansion With Private Discotheque,16,902,Entire Villa,
"Candolim, Goa, India",Candolim," Goa, India",0,15.52,73.76,Ultimate 9 Bhk Beach Villa On Candolim Beach,16,1153,Entire Villa,
"Barashiv, Maharashtra, India",Barashiv," Maharashtra, India",0,18.48,72.90,6bhk Private Villa With Infinity Pool And Sea View,16,1203,Entire Villa,
"Candolim, Goa, India",Candolim," Goa, India",0,15.52,73.76,"Hamsa Villas, Candolim Beach, Goa (Casa Sea Vista)",12,1143,Entire Villa,5.00
"Candolim, Goa, India",Candolim," Goa, India",0,15.52,73.77,Luxurious Serviced 6bhk Villa On Candolim Beach,12,798,Entire Home,4.80
"Mahabaleshwar, Maharashtra, India",Mahabaleshwar," Maharashtra, India",0,17.92,73.74,Stayvista At Cowboy Castle -7br W/ Panoramic View,16,784,Entire Villa,
"Ambelim, Goa, India",Ambelim," Goa, India",0,15.17,73.97,Heritage-Portuguese Luxurious Villa In South Goa,16,902,Entire Villa,
"Rishikesh, Uttarakhand, India",Rishikesh," Uttarakhand, India",0,30.13,78.33,Shambhala By The Ganges,12,1503,Entire Villa,
"Delhi, India",Delhi, India,0,28.67,77.20,"Private Room For Long Stay With Attached Bath,",2,1924,Private Room In Bed And Breakfast,
"Amritsar Cantt., Punjab, India",Amritsar Cantt.," Punjab, India",0,31.63,74.88,Walking Distance To Golden Temple,2,36079,Room In Hotel,3.75
"Lonavla, Maharashtra, India",Lonavla," Maharashtra, India",0,18.70,73.45,Stayvista At Vyoman,16,1481,Entire Villa,
"Calangute, Goa, India",Calangute," Goa, India",0,15.54,73.76,Beachfront 6+1bdr Luxury Villa With Private Pool.,12,897,Entire Home,4.78
"Vijayawada, Andhra Pradesh, India",Vijayawada," Andhra Pradesh, India",0,16.48,80.71,Dwaraka Residency Quad Occupancy Room,4,3041,Room In Hotel,
"Moira, Goa, India",Moira," Goa, India",0,15.60,73.84,Birdsong Moira | A Unique Homestay Experience,15,962,Entire Villa,
"Calangute Beach, Goa, India",Calangute Beach," Goa, India",1,15.55,73.75,"Art -Inspired , Designer Calangute Beach Villa",16,782,Entire Villa,
"Vijayawada, Andhra Pradesh, India",Vijayawada," Andhra Pradesh, India",0,16.48,80.71,Dwaraka Residency Double Room Near Anjaneya Swamy Poranki Vijayawada,2,3033,Room In Hotel,
"Goa, India",Goa, India,1,15.32,73.91,Luxury Boutique Hotel.,16,880,Room In Boutique Hotel,4.94
"Chennai, Tamil Nadu, India",Chennai," Tamil Nadu, India",0,12.95,80.26,Vedantha@33-Beach Front Pool Villa.Ecr 9884458888,16,893,Entire Home,5.00
"Sangolda, Goa, India",Sangolda," Goa, India",0,15.54,73.80,12 Bedroom Luxurious Heritage Villa With Pool.,16,1563,Entire Bungalow,
"Lonavala, Maharashtra, India",Lonavala," Maharashtra, India",0,18.77,73.41,Aashiyaana Villa Heritage Luxury Villa With Pool,15,1203,Entire Villa,
"Calangute, Goa, India",Calangute," Goa, India",0,15.54,73.77,Calangute 2bhk No:8,8,3007,Entire Rental Unit,4.25
"Dehradun, Uttarakhand, India",Dehradun," Uttarakhand, India",0,30.32,78.03,"Hotel Doon'S Pride, Dehradun-Superior Room",3,1581,Room In Hotel,
"Dehradun, Uttarakhand, India",Dehradun," Uttarakhand, India",0,30.32,78.03,"Hotel Doon'S Pride, Dehradun-Deluxe Room",3,1756,Room In Hotel,
"Vijayawada, Andhra Pradesh, India",Vijayawada," Andhra Pradesh, India",0,16.48,80.71,Dwaraka Residency Triple Room Near Anjaneya Swamy Poranki Vijayawada,3,3041,Room In Hotel,
"Vagator, Goa, India",Vagator," Goa, India",0,15.60,73.78,Serene Voyage 5 Bhk In Assagao,14,998,Entire Home,4.64
"Nilgiris, Tamil Nadu, India",Nilgiris," Tamil Nadu, India",0,11.33,76.80,A Glamorous 4 B/R Villa With Gorgeous Views+Bbq,10,993,Entire Villa,
"Vagator, Goa, India",Vagator," Goa, India",0,15.60,73.76,Villa Azul By Lohono Stays,10,940,Entire Villa,
"Mandrem, North Goa, Goa, India",Mandrem," North Goa, Goa, India",0,15.66,73.71,Private Villa With Pool By The Beach,16,902,Entire Villa,3.83
"Mumbai, Maharashtra, India",Mumbai," Maharashtra, India",0,18.92,72.84,54 Foot 3br Luxury Yacht Mumbai Harbour,10,1924,Boat,
"Alibag, Maharashtra, India",Alibag," Maharashtra, India",0,18.65,72.89,Coconut Villa 3 Bhk,12,1804,Entire Villa,
"Manali, Himachal Pradesh, India",Manali," Himachal Pradesh, India",0,32.24,77.19,"Hamsa Villas, Manali",12,1744,Entire Home,4.83
